codigo,denominacao,atestado_bombeiros,licenca_ambiental,orgão_regulador,defesa_civil,laudo_acustico,outros_docs
01.11-3-01,Cultivo de arroz,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.11-3-02,Cultivo de milho,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.11-3-03,Cultivo de trigo,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.11-3-99,Cultivo de outros cereais não especificados anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.12-1-01,Cultivo de algodão herbáceo,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.12-1-02,Cultivo de juta,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.12-1-99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.13-0-00,Cultivo de cana-de-açúcar,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.14-8-00,Cultivo de fumo,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.15-6-00,Cultivo de soja,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.16-4-01,Cultivo de amendoim,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.16-4-02,Cultivo de girassol,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.16-4-03,Cultivo de mamona,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.16-4-99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.19-9-01,Cultivo de abacaxi,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.19-9-02,Cultivo de alho,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.19-9-03,Cultivo de batata-inglesa,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.19-9-04,Cultivo de cebola,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.19-9-05,Cultivo de feijão,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.19-9-06,Cultivo de mandioca,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.19-9-07,Cultivo de melão,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.19-9-08,Cultivo de melancia,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.19-9-09,Cultivo de tomate rasteiro,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.19-9-99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.21-1-01,"Horticultura, exceto morango",M - Especial,Licenciamento Ambiental*,-,-,-,-
01.21-1-02,Cultivo de morango,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.22-9-00,Cultivo de flores e plantas ornamentais,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.31-8-00,Cultivo de laranja,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.32-6-00,Cultivo de uva,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-01,Cultivo de açaí,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-02,Cultivo de banana,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-03,Cultivo de caju,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-04,"Cultivo de cítricos, exceto laranja",M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-05,Cultivo de coco-da-baía,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-06,Cultivo de guaraná,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-07,Cultivo de maçã,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-08,Cultivo de mamão,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-09,Cultivo de maracujá,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-10,Cultivo de manga,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-11,Cultivo de pêssego,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.33-4-99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.34-2-00,Cultivo de café,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.35-1-00,Cultivo de cacau,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.39-3-01,Cultivo de chá-da-índia,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.39-3-02,Cultivo de erva-mate,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.39-3-03,Cultivo de pimenta-do-reino,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.39-3-04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",M - Especial,Licenciamento Ambiental*,-,-,-,-
01.39-3-05,Cultivo de dendê,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.39-3-06,Cultivo de seringueira,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.39-3-99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.41-5-01,"Produção de sementes certificadas, exceto de forrageiras para pasto",M - Especial,Licenciamento Ambiental*,-,-,-,-
01.41-5-02,Produção de sementes certificadas de forrageiras para formação de pasto,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.42-3-00,"Produção de mudas e outras formas de propagação vegetal, certificadas",M - Especial,Licenciamento Ambiental*,-,-,-,-
01.51-2-01,Criação de bovinos para corte,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.51-2-02,Criação de bovinos para leite,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.51-2-03,"Criação de bovinos, exceto para corte e leite",M - Especial,Licenciamento Ambiental*,-,-,-,-
01.52-1-01,Criação de bufalinos,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.52-1-02,Criação de equinos,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.52-1-03,Criação de asininos e muares,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.53-9-01,Criação de caprinos,M - Especial,Licenciamento Ambiental*,-,-,-,-
